id,Name_x,FIPS,year,VAC(vacantHousing),PMC,POV(poverty),UMP(unemployment),EDE (highschooldiploma),SNQ(foodaccess),HousingEviction_rate,RBS(Rentburdened),Opioidrate,x,y
136,North Lawndale,29,2017,23.64951308,11.66514245,41.50381938,18.2485205,11.99748496,27.96529274,5.59,40.53108452,93.2,-87.717218,41.860197
137,South Lawndale,30,2017,14.69100403,11.68118073,31.85676245,8.863724187,6.216935553,45.89115801,2.65,23.74395919,11.1,-87.714,41.839091
138,Lower West Side,31,2017,15.48996903,11.68702565,21.87273867,7.496218572,29.67999093,48.56522941,1.73,21.87124712,11.8,-87.66757,41.850277
139,Norwood Park,10,2017,6.338411524,11.21538372,5.847230717,4.033203751,38.02742534,81.43490834,1.33,25.73057239,6.4,-87.803451,41.985248
140,Jefferson Park,11,2017,7.465964266,11.25630136,8.108067695,6.09067861,35.74328118,66.4954388,1.24,16.29692527,7.1,-87.771165,41.978836
141,Forest Glen,12,2017,6.372003037,11.18900086,4.033674419,3.282406126,60.11204739,71.31490011,2.21,29.39582191,13.4,-87.758358,41.993938
142,North Park,13,2017,5.928513783,11.2503407,11.82838248,5.772998452,50.18383013,66.15468102,1.46,16.70212218,11.2,-87.723578,41.983651
143,Albany Park,14,2017,8.442030843,11.31407907,16.62081449,7.100631537,34.30109878,46.6219201,1.9,19.64683436,10.2,-87.721558,41.968078
144,Portage Park,15,2017,9.178392936,11.3572598,12.24882248,7.048682718,29.03369723,67.18596172,2.25,20.92284289,19.2,-87.763401,41.954043
145,Irving Park,16,2017,9.622837383,11.37020822,10.02855844,5.615604157,41.57421116,66.16851746,1.72,17.21243593,15.2,-87.723457,41.953589
146,Dunning,17,2017,6.270577614,11.35263528,9.653497988,5.024875898,24.60404421,74.22391157,2.65,24.20051209,15.4,-87.806015,41.946522
147,Montclare,18,2017,10.52906759,11.41323479,13.86928666,7.716609611,15.00144636,60.61717613,3.28,28.62332167,6.8,-87.798033,41.929306
148,Belmont Cragin,19,2017,9.409870686,11.44882585,19.69913319,9.062709164,13.15193183,51.88747247,2.19,28.43946927,15.9,-87.765502,41.927275
149,Hermosa,20,2017,9.326569583,11.47259987,20.39948734,7.292238808,14.79549336,59.18994191,2.52,35.27504927,22.1,-87.734741,41.924353
150,Avondale,21,2017,11.31504472,11.42209148,18.60637968,5.31885958,35.36706145,68.56398259,1.51,23.84246104,15,-87.711219,41.938673
151,Logan Square,22,2017,10.21278245,11.4805378,12.99280853,3.790810219,53.74073658,68.97866531,1.18,17.65847576,11.3,-87.699149,41.922768
152,O'Hare,76,2017,6.58983927,11.19685148,10.76674483,7.647087081,25.65765284,69.6719494,1.64,25.74335313,8.5,-87.893699,41.975696
153,Edison Park,9,2017,6.513280643,11.10228416,2.81646001,2.715778873,47.49981412,79.34097102,1.39,12.7063114,0,-87.81378,42.007627
154,Burnside,47,2018,20.98477422,13.28232923,17.73292642,21.94121457,13.41351217,51.42794414,3.17,40.05987256,36,-87.59647,41.728181
155,Calumet Heights,48,2018,13.26228991,13.26347032,15.47106482,10.76293168,25.14340402,58.54451586,4.71,28.60446405,9.4,-87.57272,41.729673
156,Roseland,49,2018,19.83062692,13.29104542,26.19737367,21.86589016,21.10535583,34.38053476,6.09,40.79713179,28.9,-87.623366,41.706588
157,Pullman,50,2018,11.16948035,13.29091586,22.82699763,18.03124749,21.56045032,53.40253617,3.94,28.34917599,9.9,-87.598252,41.706131
158,South Deering,51,2018,12.65540249,13.27246294,38.33369988,18.69252466,9.58988094,23.36650008,3.3,31.29428643,20.2,-87.570058,41.690639
